"filename", "language", "JavaScript", "CSS", "PHP", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\it\adminlte.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\it\iframe.php", "PHP", 0, 0, 10, 0, 0, 0, 10, 4, 24
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\it\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\ja\adminlte.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 3, 28
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\ja\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\la\adminlte.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\la\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\nl\adminlte.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\pl\adminlte.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 3, 29
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\pl\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\pt-br\adminlte.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 3, 29
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\pt-br\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\ru\adminlte.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\ru\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\sk\adminlte.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 3, 30
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\sk\iframe.php", "PHP", 0, 0, 10, 0, 0, 0, 10, 5, 25
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\sk\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\sr\adminlte.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 3, 29
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\sr\menu.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\tr\adminlte.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\tr\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\uk\adminlte.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\uk\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\vi\adminlte.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\vi\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\zh-CN\adminlte.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\zh-CN\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1809, 0, 1, 1810
"c:\xampp\htdocs\licor-house\package.json", "JSON", 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\xampp\htdocs\licor-house\phpunit.xml", "XML", 0, 0, 0, 0, 29, 0, 2, 1, 32
"c:\xampp\htdocs\licor-house\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\licor-house\public\css\compras.css", "CSS", 0, 37, 0, 0, 0, 0, 1, 9, 47
"c:\xampp\htdocs\licor-house\public\css\navbar.css", "CSS", 0, 70, 0, 0, 0, 0, 9, 16, 95
"c:\xampp\htdocs\licor-house\public\css\principal.css", "CSS", 0, 23, 0, 0, 0, 0, 0, 6, 29
